Genre,Year,Stream
Indie/Folk,2018,591626625
Indie/Folk,2006,397400002
Indie/Folk,2006,333846640
Indie/Folk,2008,474465270
Indie/Folk,2006,324961495
Dance/Electronic,2014,345333488
Dance/Electronic,2013,481224452
Dance/Electronic,2018,926130037
Indie/Folk,2014,926130037
Dance/Electronic,2015,285315583
Dance/Electronic,2002,271955400
Pop,2002,507328694
Pop,1976,260138692
Pop,1976,57507881
Rock,1990,297949976
Hip Hop,2010,586592445
Hip Hop,2010,271547095
Dance/Electronic,2014,166588725
Rock,1991,410343432
Rock,1991,428537218
Dance/Electronic,2015,428537218
Rock,1991,348404281
Rock,1991,270771263
Rock,2009,186621364
Metal,2005,430435750
Metal,1998,341892169
Pop,2013,59697490
Country,2002,518524112
Dance/Electronic,2006,518524112
Country,1963,295020202
Rock,1976,1225904497
Rock,1972,456755530
Rock,1975,196959826
Rock,1973,150454398
Rock,1973,87076947
Rock,1976,112876885
Metal,1998,343955425
Dance/Electronic,2007,637110207
Dance/Electronic,1979,0
Dance/Electronic,1992,0
Dance/Electronic,1985,0
Dance/Electronic,2016,160142201
Dance/Electronic,2017,69780800
Hip Hop,2003,1004053030
Dance/Electronic,2016,292224239
Pop,1983,58527463
R&B/Soul,2016,58527463
R&B/Soul,2015,58527463
Dance/Electronic,2010,58527463
Indie/Folk,1982,457754545
Indie/Folk,1981,548439010
Indie/Folk,2016,316883477
Indie/Folk,1989,331410674
Indie/Folk,1999,309356443
Rock,1984,253104372
Jazz/Latin,2019,1506598267
Jazz/Latin,2017,1593687904
Pop,2001,1080660101
Pop,2013,366359071
Dance/Electronic,2013,474492270
Dance/Electronic,2017,1098764242
Dance/Electronic,2014,269003990
Dance/Electronic,2015,307858215
Dance/Electronic,2013,257603194
Dance/Electronic,2001,18025225
Rock,1984,511961928
Rock,1984,335395734
Rock,1984,369288087
Rock,1975,283696926
Rock,1995,239663934
Rock,1984,158049565
Rock,1980,167452018
Rock,1980,148958827
Rock,1995,69059523
Dance/Electronic,2019,1138490572
Dance/Electronic,1983,96143748
Rock,1984,890565435
Rock,1984,434521044
Rock,1991,464434163
Rock,1984,130946923
Dance/Electronic,2012,31718294
Dance/Electronic,2012,31718294
Dance/Electronic,2011,360804163
Dance/Electronic,2016,418935629
Dance/Electronic,2012,176261180
Pop,1997,430022654
Rock,2015,122395141
Dance/Electronic,2018,979745544
Dance/Electronic,2015,602153066
Dance/Electronic,2013,297983302
Rock,1982,289331409
Rock,1992,257262552
Rock,1971,314464772
Metal,2003,314464772
Pop,1969,237538005
Dance/Electronic,2017,237538005
Dance/Electronic,1998,64383900
Metal,2015,636195740
Rock,1967,232736659
Rock,1971,330157289
Rock,1967,242648718
Rock,1967,253158175
Rock,1971,127636485
Rock,1969,92447600
Rock,1971,125717532
Rock,1991,970996804
Rock,1992,333630660
Rock,1991,232026969
Rock,1987,180557820
Rock,1992,134799456
Rock,1992,63204588
Rock,1992,65300545
Rock,1990,540138418
Rock,2011,265402285
Rock,1990,166627981
Rock,2011,0
Pop,2002,382561950
R&B/Soul,2004,243456781
Pop,2004,243456781
Rock,1970,86812330
Metal,1995,442492780
Metal,1995,278615322
Metal,1995,166994881
Hip Hop,2011,499536385
Dance/Electronic,2018,1197921844
Dance/Electronic,1979,343817778
Dance/Electronic,1977,110570404
Dance/Electronic,1977,23604673
Indie/Folk,2010,1153629875
Pop,1971,273587252
Pop,1975,139067533
Rock,1970,61903001
Rock,1985,999058226
Rock,1985,220570153
Rock,1989,108212130
Rock,1989,70048954
Rock,1982,1355029865
Rock,1978,528069993
Rock,1982,254807488
Rock,1986,136488911
Rock,1988,64078114
Rock,1988,21918565
Dance/Electronic,2017,331272487
Dance/Electronic,2017,48024358
R&B/Soul,1967,931115362
R&B/Soul,1983,299483954
Rock,1970,299483954
R&B/Soul,1982,319143311
R&B/Soul,1971,227444299
R&B/Soul,1973,248473631
Dance/Electronic,1998,701891360
Dance/Electronic,2017,202918470
Dance/Electronic,1998,98857291
Rock,1967,28799881
Dance/Electronic,1998,28799881
Dance/Electronic,1996,65416428
Dance/Electronic,1998,61676939
Rock,1981,1466430410
Pop,1980,431483986
Pop,1974,466519830
Dance/Electronic,1992,94358229
Pop,1974,94358229
Rock,2017,353138077
Hip Hop,2011,262576242
Rock,1991,82157034
Metal,1992,695046200
Rock,2003,1224350356
Rock,1974,1038381697
Rock,1973,463992990
Rock,1971,47404891
Dance/Electronic,2003,263108282
Rock,1977,376086351
Rock,1977,374517528
Rock,1976,374517528
Rock,1999,136927203
Metal,1991,289334811
Rock,1965,290340526
Rock,1963,164239415
Rock,1976,184267120
Rock,1964,190928895
Rock,1963,106638958
Rock,1965,93541470
R&B/Soul,1971,545720692
R&B/Soul,1977,479283663
Pop,1958,98732181
Rock,1969,98732181
Indie/Folk,2000,247417162
Indie/Folk,1988,0
Rock,1991,108213989
Rock,1974,90646036
Dance/Electronic,1985,1299777688
Dance/Electronic,1985,64511762
Pop,1958,98732181
Rock,1969,98732181
R&B/Soul,1994,218772526
Dance/Electronic,2011,43384851
Dance/Electronic,2012,43384851
Hip Hop,1996,518080621
Rock,1968,457568583
Rock,1964,455836086
Rock,1970,290830362
Rock,1970,231497769
Rock,1970,221431250
Rock,1966,91579617
Rock,1970,75653584
Dance/Electronic,1999,399661898
Dance/Electronic,2002,282765342
Dance/Electronic,1998,136332369
Rock,1990,140211873
Dance/Electronic,1999,128201040
Pop,2015,947117209
R&B/Soul,1984,374908872
R&B/Soul,1986,320875067
R&B/Soul,1984,194870867
R&B/Soul,1985,173523531
R&B/Soul,1984,89798826
R&B/Soul,1984,66628334
Dance/Electronic,1978,110735153
Pop,1982,82658228
Pop,1973,82658228
Rock,1967,762844275
Rock,1970,259257572
Rock,1989,106432184
R&B/Soul,2011,42727041
R&B/Soul,2011,42727041
Hip Hop,1996,518080621
Pop,1997,35278870
Pop,2012,75137770
Pop,2010,33524355
Metal,2000,704218472
Metal,2002,510259109
Rock,2011,394300734
Rock,2011,212353760
Rock,2011,88309636
Dance/Electronic,1981,135177436
Rock,1999,295287370
Rock,1970,78507272
Rock,1977,766947143
Rock,1979,230084158
Rock,1976,175547398
Pop,2010,38672908
Rock,1968,583331585
Rock,1967,210571134
Rock,1967,285082058
Rock,1967,245334601
Rock,1968,154610873
Rock,1967,92470376
Dance/Electronic,1978,37047825
Pop,2014,41954575
R&B/Soul,1995,725102
Rock,1982,812402699
Rock,1979,277262913
R&B/Soul,1968,515616223
Pop,1962,210786752
R&B/Soul,1966,118607879
Dance/Electronic,1993,247351792
Pop,1998,247696196
Dance/Electronic,1993,247696196
Dance/Electronic,1987,263611181
Dance/Electronic,1987,86696893
Dance/Electronic,1999,102322170
Rock,1984,15516282
Pop,1969,4096818
Dance/Electronic,1987,65936286
Pop,1993,715909325
Pop,1968,458707438
Pop,1967,458908495
Pop,1968,164794358
Rock,1980,180984654
Dance/Electronic,1998,98857291
Pop,1969,77276058
Rock,1980,21118796
Dance/Electronic,1983,807461121
Dance/Electronic,2014,552756900
Dance/Electronic,1986,196529760
Dance/Electronic,2016,196529760
Rock,1991,72692874
Country,2000,72692874
Dance/Electronic,2005,72692874
Dance/Electronic,1998,61676939
Pop,1995,102983829
Rock,1977,29891438
Pop,1988,30776596
Pop,1983,212373009
R&B/Soul,2016,212373009
R&B/Soul,2015,212373009
Dance/Electronic,2010,212373009
Pop,1993,41243108
Rock,1996,50859782
