Title,Year,Acousticness,Danceability,Energy,Liveness,Speechiness,Valence
Work from Home (feat. Ty Dolla $ign),2016,0.1,0.8,0.59,0.06,0.04,0.59
Scars To Your Beautiful,2016,0.03,0.57,0.74,0.11,0.13,0.45
Like I'm Gonna Lose You (feat. John Legend),2016,0.4,0.63,0.53,0.18,0.04,0.42
Work,2016,0.08,0.73,0.53,0.09,0.09,0.56
Stitches,2016,0.02,0.75,0.75,0.05,0.07,0.76
"Me, Myself & I",2016,0.02,0.76,0.67,0.16,0.1,0.38
I Took A Pill In Ibiza - Seeb Remix,2016,0.04,0.66,0.71,0.08,0.11,0.69
Dangerous Woman,2016,0.05,0.66,0.6,0.36,0.04,0.29
Starving,2016,0.38,0.73,0.62,0.11,0.06,0.51
Shout Out to My Ex,2016,0.02,0.77,0.75,0.11,0.09,0.8
Electric Love,2016,0.01,0.61,0.8,0.26,0.05,0.52
Confident,2016,0,0.59,0.75,0.09,0.07,0.34
Too Good,2016,0.05,0.79,0.65,0.1,0.1,0.39
Roses,2016,0.04,0.71,0.8,0.31,0.06,0.34
Cold Water (feat. Justin Bieber & MØ),2016,0.07,0.61,0.8,0.16,0.04,0.5
Me Too,2016,0.1,0.93,0.69,0.48,0.1,0.84
Light It Up (feat. Nyla & Fuse ODG) [Remix],2016,0.04,0.75,0.88,0.23,0.07,0.75
Ain't Your Mama,2016,0.05,0.76,0.68,0.07,0.23,0.82
Close,2016,0.25,0.65,0.62,0.14,0.08,0.4
Toothbrush,2016,0.12,0.55,0.79,0.47,0.13,0.82
All We Know,2016,0.1,0.66,0.59,0.12,0.03,0.3
Final Song,2016,0.01,0.7,0.67,0.08,0.03,0.25
Company,2016,0.13,0.59,0.8,0.08,0.06,0.43
Hands To Myself,2016,0.01,0.81,0.5,0.34,0.12,0.47
All I Ask,2016,0.88,0.59,0.28,0.15,0.03,0.34
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",2016,0.01,0.63,0.7,0.11,0.15,0.5
NO,2016,0.01,0.56,0.8,0.74,0.22,0.65
Kill Em With Kindness,2016,0.01,0.76,0.88,0.1,0.04,0.4
Cool Girl,2016,0.31,0.67,0.69,0.08,0.11,0.2
Runnin' (Lose It All),2016,0.01,0.32,0.85,0.48,0.08,0.08
Here,2016,0.08,0.38,0.82,0.08,0.1,0.33
Perfect Illusion,2016,0,0.61,0.86,0.36,0.04,0.66
PILLOWTALK,2016,0.1,0.59,0.7,0.09,0.05,0.43
Out Of The Woods,2016,0,0.55,0.84,0.34,0.04,0.34
Rise,2016,0.05,0.55,0.64,0.11,0.05,0.44
Wherever I Go,2016,0.09,0.55,0.69,0.27,0.04,0.35
Body Say,2016,0,0.63,0.74,0.28,0.04,0.26
Don't Be A Fool,2016,0.6,0.47,0.34,0.1,0.04,0.27
LIKE I WOULD,2016,0.02,0.56,0.83,0.26,0.11,0.23
Cheap Thrills,2016,0.06,0.59,0.8,0.08,0.22,0.73
I Got You,2016,0.05,0.61,0.89,0.09,0.05,0.32
Run Away With Me,2016,0.01,0.56,0.72,0.05,0.05,0.25
Cruel (feat. ZAYN),2016,0.02,0.6,0.88,0.16,0.12,0.32
Send My Love (To Your New Lover),2016,0.04,0.69,0.52,0.17,0.1,0.56
WTF (Where They From),2016,0.02,0.93,0.82,0.06,0.2,0.56
Desire,2016,0.3,0.71,0.78,0.3,0.06,0.64
When We Were Young,2016,0.35,0.38,0.59,0.09,0.05,0.27
I Know What You Did Last Summer,2016,0.11,0.68,0.77,0.16,0.1,0.72
Wish That You Were Here - From “Miss Peregrine’s Home for Peculiar Children” Original Motion Picture,2016,0.72,0.37,0.57,0.13,0.03,0.12
Hurts,2016,0.02,0.58,0.64,0.15,0.03,0.18
Change,2016,0.68,0.62,0.54,0.13,0.08,0.2
Make Me... (feat. G-Eazy),2016,0.16,0.7,0.7,0.22,0.1,0.58
Keeping Your Head Up,2016,0.16,0.6,0.78,0.19,0.05,0.53
True Colors,2016,0.4,0.57,0.79,0.1,0.04,0.49
Make Me Like You,2016,0.04,0.74,0.71,0.13,0.05,0.8
Champagne Problems,2016,0,0.73,0.78,0.09,0.13,0.64
Blown,2016,0,0.63,0.95,0.1,0.04,0.73
Start,2016,0.99,0.52,0.04,0.09,0.04,0.26
Pep Rally,2016,0.22,0.83,0.75,0.2,0.12,0.32
Higher,2016,0.01,0.65,0.87,0.37,0.06,0.44
Invitation,2016,0.03,0.37,0.65,0.09,0.11,0.16
One Call Away (feat. Tyga) - Remix,2016,0.26,0.75,0.69,0.13,0.04,0.52
Beautiful Birds (feat. Birdy),2016,0.91,0.39,0.17,0.11,0.03,0.14
Little Lies,2016,0,0.57,0.76,0.04,0.06,0.4
Do You Wanna Come Over?,2016,0.01,0.75,0.7,0.11,0.07,0.45
BURNITUP!,2016,0.05,0.83,0.71,0.31,0.18,0.83
Picky - Remix,2016,0.09,0.7,0.81,0.37,0.07,0.69
Behind Your Back,2016,0.25,0.8,0.47,0.07,0.04,0.69
Million Years Ago,2016,0,0,0,0,0,0
Shape of You,2017,0.58,0.83,0.65,0.09,0.08,0.93
Closer,2017,0.41,0.75,0.52,0.11,0.03,0.66
Starboy,2017,0.14,0.68,0.59,0.14,0.28,0.49
Treat You Better,2017,0.11,0.44,0.82,0.11,0.34,0.75
That's What I Like,2017,0.01,0.85,0.56,0.09,0.04,0.86
Let Me Love You,2017,0.09,0.65,0.72,0.14,0.03,0.16
I Feel It Coming,2017,0.43,0.77,0.82,0.07,0.12,0.59
Mercy,2017,0.13,0.56,0.66,0.11,0.08,0.36
Side To Side,2017,0.05,0.65,0.74,0.24,0.23,0.61
Stay,2017,0.25,0.69,0.62,0.12,0.06,0.54
It Ain't Me (with Selena Gomez),2017,0.12,0.64,0.53,0.09,0.07,0.52
Malibu,2017,0.08,0.57,0.78,0.08,0.06,0.34
Something Just Like This,2017,0.03,0.61,0.65,0.17,0.04,0.51
Rockabye (feat. Sean Paul & Anne-Marie),2017,0.41,0.72,0.76,0.18,0.05,0.74
I Don’t Wanna Live Forever (Fifty Shades Darker),2017,0.06,0.74,0.45,0.33,0.06,0.09
My Way,2017,0.09,0.82,0.91,0.16,0.04,0.54
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",2017,0.06,0.61,0.67,0.17,0.04,0.81
Praying,2017,0.49,0.58,0.39,0.11,0.03,0.32
Despacito - Remix,2017,0.23,0.65,0.82,0.1,0.17,0.82
The Greatest,2017,0.01,0.67,0.73,0.06,0.27,0.73
There for You,2017,0.12,0.61,0.64,0.12,0.06,0.13
Paris,2017,0.02,0.65,0.64,0.09,0.03,0.25
Crying in the Club,2017,0.33,0.33,0.62,0.16,0.38,0.6
Mama,2017,0.1,0.74,0.79,0.05,0.04,0.57
Slide (feat. Frank Ocean & Migos),2017,0.5,0.74,0.8,0.25,0.05,0.51
Swish Swish,2017,0.02,0.84,0.71,0.1,0.04,0.57
Chained To The Rhythm,2017,0.08,0.45,0.8,0.2,0.17,0.47
Cold (feat. Future),2017,0.14,0.69,0.72,0.05,0.11,0.41
Love,2017,0.49,0.53,0.37,0.11,0.03,0.23
Indie/Folktón Lento (Remix),2017,0.15,0.53,0.91,0.1,0.09,0.62
All I Ask,2017,0.88,0.59,0.28,0.15,0.03,0.34
First Time,2017,0.2,0.63,0.59,0.1,0.11,0.68
The Cure,2017,0.08,0.7,0.51,0.09,0.03,0.52
"How Far I'll Go - From ""Moana""",2017,0.16,0.31,0.54,0.07,0.35,0.16
Bodak Yellow,2017,0.07,0.93,0.72,0.35,0.11,0.46
Rich Love (with Seeb),2017,0.17,0.4,0.87,0.36,0.31,0.47
Tired,2017,0.04,0.69,0.88,0.15,0.06,0.49
Came Here for Love,2017,0.03,0.71,0.87,0.12,0.04,0.72
24K Magic,2017,0.03,0.82,0.8,0.15,0.08,0.63
Strip That Down (feat. Quavo),2017,0.2,0.87,0.5,0.08,0.05,0.55
Cut To The Feeling,2017,0.01,0.71,0.91,0.3,0.06,0.65
OK - Spotify Version,2017,0.12,0.65,0.81,0.13,0.06,0.58
Bon appétit,2017,0.13,0.8,0.79,0.22,0.06,0.52
Summer Bummer (feat. A$AP Rocky & Playboi Carti),2017,0.02,0.76,0.57,0.2,0.13,0.14
Get Low (with Liam Payne),2017,0.03,0.72,0.93,0.05,0.05,0.54
Kissing Strangers,2017,0.05,0.77,0.74,0.09,0.04,0.86
Slow Hands,2017,0.01,0.74,0.42,0.06,0.05,0.85
Younger Now,2017,0,0.55,0.87,0.14,0.06,0.33
Body Moves,2017,0,0.65,0.69,0.04,0.04,0.86
Reality (feat. Janieck Devy) - Radio Edit,2017,0.02,0.73,0.64,0.08,0.04,0.53
Angel,2017,0,0.74,0.53,0.35,0.04,0.13
Touch (feat. Kid Ink),2017,0.04,0.64,0.75,0.49,0.11,0.53
We Don't Talk Anymore - DROELOE Remix,2017,0.49,0.7,0.82,0.45,0.22,0.67
Love Incredible (feat. Camila Cabello),2017,0.06,0.37,0.5,0.2,0.12,0.21
No Vacancy (with Sebastián Yatra),2017,0.08,0.69,0.76,0.14,0.04,0.59
Rich Boy,2017,0.07,0.74,0.9,0.08,0.05,0.65
Lust for Life (with The Weeknd),2017,0.58,0.51,0.67,0.36,0.06,0.27
Greenlight (feat. Flo Rida & LunchMoney Lewis),2017,0.28,0.7,0.83,0.36,0.27,0.63
Influence,2017,0.1,0.77,0.59,0.11,0.05,0.33
Remember I Told You,2017,0.14,0.68,0.53,0.04,0.28,0.84
Messin' Around,2017,0.02,0.57,0.81,0.04,0.05,0.78
Water Under the Bridge,2017,0.02,0.6,0.84,0.11,0.07,0.47
Free Me,2017,0.85,0.27,0.46,0.14,0.03,0.21
Kissing Strangers - Remix,2017,0.08,0.76,0.77,0.08,0.05,0.81
A L I E N S,2017,0,0.43,0.88,0.21,0.04,0.25
One Kiss (with Dua Lipa),2018,0.04,0.79,0.86,0.08,0.11,0.59
Havana (feat. Young Thug),2018,0.18,0.77,0.52,0.13,0.03,0.39
I Like It,2018,0.1,0.82,0.73,0.37,0.13,0.65
New Rules,2018,0,0.76,0.7,0.15,0.07,0.61
There's Nothing Holdin' Me Back,2018,0.38,0.87,0.81,0.08,0.06,0.97
no tears left to cry,2018,0.04,0.7,0.71,0.29,0.06,0.35
IDGAF,2018,0.04,0.84,0.54,0.08,0.09,0.51
In My Blood,2018,0.06,0.62,0.71,0.13,0.07,0.49
Wolves,2018,0.12,0.72,0.8,0.2,0.04,0.31
Dusk Till Dawn - Radio Edit,2018,0.1,0.26,0.44,0.11,0.04,0.1
Attention,2018,0.11,0.78,0.61,0.13,0.05,0.8
Electricity (with Dua Lipa),2018,0.01,0.59,0.67,0.34,0.05,0.51
Love On The Brain,2018,0.07,0.51,0.64,0.08,0.05,0.38
"Let Me Go (with Alesso, Florida Georgia Line & watt)",2018,0.03,0.66,0.71,0.08,0.05,0.74
Silence,2018,0.26,0.52,0.76,0.17,0.09,0.29
Sorry Not Sorry,2018,0.02,0.71,0.64,0.26,0.23,0.89
Shallow - Radio Edit,2018,0.42,0.57,0.33,0.09,0.03,0.28
These Days,2018,0.19,0.65,0.81,0.17,0.05,0.55
What Lovers Do (feat. SZA),2018,0.08,0.8,0.6,0.1,0.06,0.42
Finesse - Remix; feat. Cardi B,2018,0.02,0.7,0.86,0.02,0.1,0.93
Perfect Duet (Ed Sheeran & Beyoncé),2018,0.78,0.59,0.3,0.12,0.03,0.36
Bad At Love,2018,0.06,0.68,0.75,0.09,0.03,0.61
Him & I (with Halsey),2018,0.05,0.59,0.73,0.31,0.09,0.19
Friends (with BloodPop®),2018,0,0.74,0.73,0.3,0.04,0.62
Wild Thoughts (feat. Rihanna & Bryson Tiller),2018,0.03,0.67,0.67,0.12,0.07,0.63
My My My!,2018,0,0.7,0.46,0.05,0.08,0.48
Capital Letters,2018,0.03,0.66,0.81,0.05,0.08,0.46
Sick Boy,2018,0.11,0.66,0.58,0.12,0.05,0.45
Tequila,2018,0.03,0.47,0.59,0.13,0.03,0.5
Look What You Made Me Do,2018,0.2,0.77,0.71,0.13,0.12,0.51
Youth (feat. Khalid),2018,0.56,0.53,0.6,0.13,0.12,0.32
Bad Liar,2018,0.19,0.97,0.41,0.08,0.07,0.73
Anywhere,2018,0.04,0.63,0.8,0.1,0.06,0.32
Say Something,2018,0.1,0.71,0.63,0.08,0.08,0.37
Chun-Li,2018,0.28,0.69,0.73,0.11,0.37,0.48
Sign of the Times,2018,0.03,0.52,0.57,0.11,0.03,0.21
Familiar,2018,0.02,0.64,0.81,0.08,0.33,0.91
Let Me,2018,0.24,0.46,0.57,0.1,0.05,0.19
Supernova,2018,0.06,0.77,0.62,0.21,0.1,0.68
Nervous,2018,0.04,0.84,0.62,0.13,0.08,0.74
First Time,2018,0.2,0.63,0.59,0.1,0.11,0.68
End Game,2018,0.01,0.65,0.59,0.11,0.06,0.15
Mi Gente (feat. Beyoncé),2018,0.02,0.76,0.72,0.23,0.08,0.47
Lemon,2018,0,0.92,0.73,0.12,0.09,0.2
For You (With Rita Ora),2018,0.02,0.54,0.8,0.42,0.03,0.18
Want To,2018,0.08,0.57,0.69,0.06,0.12,0.32
What I Need (feat. Kehlani),2018,0.05,0.63,0.79,0.16,0.06,0.41
Wait,2018,0.1,0.66,0.6,0.11,0.06,0.45
What About Us,2018,0.03,0.39,0.59,0.09,0.06,0.19
Kissing Strangers,2018,0.05,0.77,0.74,0.09,0.04,0.86
2U (feat. Justin Bieber),2018,0.23,0.53,0.61,0.23,0.06,0.53
Walk On Water (feat. Beyoncé),2018,0.81,0.48,0.44,0.64,0.24,0.62
This Town,2018,0.7,0.68,0.41,0.12,0.03,0.2
"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",2018,0.02,0.73,0.69,0.1,0.05,0.42
MOVE TO MIAMI,2018,0.03,0.76,0.87,0.07,0.05,0.9
Miss You (with Major Lazer & Tory Lanez),2018,0.25,0.75,0.64,0.11,0.09,0.45
Filthy,2018,0.04,0.75,0.58,0.25,0.14,0.65
Never Be the Same - Radio Edit,2018,0.16,0.63,0.69,0.12,0.09,0.25
Ferrari,2018,0.02,0.58,0.48,0.1,0.03,0.42
Supplies,2018,0.01,0.79,0.55,0.13,0.05,0.23
Boom Boom,2018,0,0.75,0.76,0.2,0.05,0.58
...Ready For It? - BloodPop® Remix,2018,0.13,0.58,0.84,0.1,0.22,0.5
Drip (feat. Migos),2018,0.05,0.97,0.59,0.08,0.26,0.27
Tell Me You Love Me - NOTD Remix,2018,0.05,0.58,0.77,0.09,0.08,0.76
Memories,2019,0.84,0.76,0.32,0.08,0.05,0.57
Lose You To Love Me,2019,0.58,0.51,0.34,0.21,0.04,0.09
Someone You Loved,2019,0.75,0.5,0.41,0.11,0.03,0.45
Señorita,2019,0.04,0.76,0.54,0.09,0.03,0.75
How Do You Sleep?,2019,0.15,0.48,0.68,0.08,0.09,0.35
South of the Border (feat. Camila Cabello & Cardi B),2019,0.15,0.86,0.62,0.09,0.08,0.67
Trampoline (with ZAYN),2019,0.56,0.62,0.46,0.14,0.03,0.5
Happier,2019,0.19,0.69,0.79,0.17,0.05,0.67
Truth Hurts,2019,0.11,0.72,0.62,0.12,0.11,0.41
Good as Hell (feat. Ariana Grande) - Remix,2019,0.3,0.67,0.89,0.74,0.06,0.48
Higher Love,2019,0.02,0.69,0.68,0.1,0.03,0.4
Only Human,2019,0.11,0.8,0.5,0.06,0.07,0.87
Beautiful People (feat. Khalid),2019,0.12,0.64,0.65,0.08,0.19,0.55
Sucker,2019,0.04,0.84,0.73,0.11,0.06,0.95
Don't Call Me Up,2019,0.3,0.67,0.88,0.08,0.15,0.23
I Don't Care (with Justin Bieber),2019,0.09,0.8,0.68,0.09,0.04,0.84
Talk (feat. Disclosure),2019,0.05,0.9,0.4,0.06,0.13,0.35
Giant (with Rag'n'Bone Man),2019,0.02,0.81,0.89,0.08,0.04,0.61
Takeaway,2019,0.13,0.53,0.51,0.1,0.03,0.35
All Around The World (La La La),2019,0.48,0.73,0.86,0.11,0.03,0.52
Girls Like You (feat. Cardi B),2019,0.57,0.85,0.54,0.13,0.05,0.45
Call You Mine,2019,0.2,0.59,0.7,0.34,0.03,0.52
No Guidance (feat. Drake),2019,0.12,0.7,0.45,0.16,0.15,0.14
Antisocial (with Travis Scott),2019,0.13,0.72,0.82,0.36,0.05,0.91
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",2019,0.16,0.84,0.8,0.06,0.23,0.62
Con Calma - Remix,2019,0.17,0.74,0.87,0.04,0.05,0.61
Find U Again (feat. Camila Cabello),2019,0.01,0.61,0.66,0.2,0.03,0.16
Cross Me (feat. Chance the Rapper & PnB Rock),2019,0.21,0.75,0.79,0.07,0.12,0.61
"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",2019,0.07,0.53,0.76,0.09,0.34,0.65
Nothing Breaks Like a Heart (feat. Miley Cyrus),2019,0.01,0.6,0.79,0.42,0.07,0.24
Kills You Slowly,2019,0.06,0.7,0.44,0.13,0.06,0.23
Sunrise,2004,0.94,0.53,0.3,0.11,0.03,0.68
Black Night,2000,0.17,0.5,0.79,0.17,0.07,0.81
Clint Eastwood,2001,0.02,0.66,0.69,0.07,0.17,0.52
The Pretender,2007,0,0.43,0.96,0.03,0.04,0.37
Waitin' On A Sunny Day,2002,0.01,0.58,0.82,0.1,0.03,0.87
The Road Ahead (Miles Of The Unknown),2004,0,0.54,0.46,0.14,0.02,0.14
She Will Be Loved,2002,0.06,0.71,0.71,0.13,0.03,0.54
Knights of Cydonia,2006,0,0.37,0.96,0.12,0.14,0.21
Mr. Brightside,2004,0,0.36,0.92,0.1,0.08,0.23
Without Me,2002,0,0.91,0.67,0.24,0.07,0.66
Love Me Tender,2002,0.88,0.44,0.05,0.11,0.04,0.31
Seven Nation Army,2003,0.01,0.74,0.46,0.26,0.08,0.32
Als Het Golft,2000,0.02,0.54,0.88,0.53,0.03,0.59
I'm going home,2005,0.18,0.38,0.93,0.81,0.1,0.4
Fluorescent Adolescent,2007,0,0.65,0.81,0.14,0.03,0.82
Zonder Jou,2006,0.84,0.42,0.42,0.16,0.04,0.25
Speed of Sound,2005,0,0.52,0.9,0.07,0.06,0.36
Uninvited,2005,0.02,0.38,0.54,0.09,0.03,0.19
Music,2004,0.01,0.27,0.31,0.63,0.03,0.12
Cry Me a River,2002,0.57,0.62,0.65,0.1,0.18,0.56
Fix You,2005,0.16,0.21,0.42,0.11,0.03,0.12
The Cave,2009,0.05,0.6,0.51,0.11,0.04,0.35
Als De Morgen Is Gekomen,2006,0.05,0.63,0.89,0.09,0.03,0.81
Somebody Told Me,2004,0,0.51,0.99,0.12,0.09,0.65
Dichterbij Dan Ooit,2002,0.18,0.65,0.74,0.23,0.03,0.52
Miracle,2008,0.48,0.55,0.48,0.1,0.03,0.18
Smokers Outside the Hospital Doors,2007,0,0.53,0.68,0.12,0.04,0.55
Cleanin' Out My Closet,2002,0.07,0.91,0.76,0.08,0.17,0.87
Der Weg,2008,0.92,0.34,0.24,0.12,0.04,0.19
7 Seconds (feat. Neneh Cherry),2004,0.08,0.68,0.7,0.33,0.03,0.51
The Scientist,2002,0.73,0.56,0.44,0.11,0.02,0.21
Big Log - 2006 Remaster,2007,0.32,0.56,0.59,0.2,0.03,0.68
Chasing Pavements,2008,0.31,0.62,0.47,0.11,0.03,0.33
Don't Know Why,2002,0.88,0.73,0.2,0.07,0.03,0.62
Tears Dry On Their Own,2006,0.49,0.64,0.87,0.29,0.12,0.45
The Eyes of Jenny,2009,0.34,0.68,0.53,0.08,0.04,0.68
Iris,2007,0,0.29,0.79,0.08,0.04,0.51
The Saints Are Coming,2006,0.08,0.32,0.81,0.15,0.05,0.12
All My Life,2002,0,0.58,0.6,0.48,0.05,0.65
De Weg,2005,0.91,0.46,0.21,0.11,0.03,0.26
Don't Let Me Be Misunderstood,2003,0.03,0.67,0.82,0.05,0.08,0.78
Traffic - Radio Edit,2009,0,0.71,0.64,0.19,0.09,0.1
Take Me Out,2004,0,0.28,0.68,0.14,0.04,0.49
American Idiot,2004,0,0.38,0.99,0.37,0.06,0.77
Breaking the Habit,2003,0.11,0.58,0.85,0.09,0.03,0.58
Come Undone,2002,0.04,0.38,0.57,0.35,0.03,0.26
Sweet Jane,2008,0.48,0.83,0.46,0.7,0.06,0.88
Run,2004,0,0.37,0.64,0.17,0.03,0.2
"You're The First, The Last, My Everything",2009,0.01,0.64,0.72,0.14,0.04,0.8
The Day After Tomorrow,2005,0.01,0.46,0.77,0.14,0.03,0.35
Just Breathe,2009,0.72,0.47,0.35,0.08,0.03,0.28
Dansen Aan Zee,2000,0.16,0.35,0.43,0.1,0.03,0.26
Goodbye My Lover,2005,0.95,0.43,0.26,0.09,0.05,0.27
The Unforgiven III,2008,0,0.3,0.77,0.12,0.03,0.09
Hurt,2006,0.78,0.33,0.3,0.11,0.03,0.14
Grounds for Divorce,2009,0.42,0.52,0.76,0.57,0.03,0.63
Sometimes You Can't Make It On Your Own,2004,0,0.53,0.6,0.11,0.02,0.35
"Listen (From the Motion Picture ""Dreamgirls"")",2006,0.27,0.48,0.59,0.18,0.05,0.2
I Want It That Way,2001,0.22,0.69,0.7,0.16,0.03,0.48
Goin To The Run,2008,0.42,0.47,0.59,0.28,0.03,0.18
De Neus Umhoeg,2005,0.07,0.62,0.41,0.1,0.03,0.51
Solitary Man,2000,0.35,0.44,0.56,0.25,0.03,0.7
Smoorverliefd,2008,0.13,0.7,0.75,0.19,0.1,0.91
Me Gustas Tu,2001,0.66,0.66,0.74,0.22,0.08,0.91
Kryptonite,2000,0.01,0.55,0.87,0.17,0.03,0.54
Crazy,2004,0.21,0.63,0.86,0.07,0.05,0.73
Family Portrait,2001,0.03,0.76,0.69,0.57,0.05,0.73
In The Army Now,2002,0.11,0.68,0.73,0.14,0.02,0.94
I Surrender,2004,0.28,0.28,0.43,0.06,0.03,0.07
Maybe Tomorrow,2003,0.22,0.5,0.65,0.33,0.04,0.57
Make You Feel My Love,2008,0.89,0.55,0.18,0.11,0.03,0.09
No One Knows,2002,0.03,0.51,0.58,0.37,0.06,0.67
Where Do You Go To (My Lovely) - Re-Recorded,2008,0.29,0.56,0.44,0.12,0.03,0.44
The Wild Rover,2008,0.83,0.3,0.68,0.43,0.25,0.77
Little Lion Man,2009,0.03,0.52,0.48,0.09,0.03,0.46
Dirty Diana,2003,0.24,0.75,0.8,0.42,0.05,0.37
Ne me quitte pas,2004,0.82,0.42,0.24,0.19,0.05,0.3
Sad Man's Tongue,2007,0,0.43,0.96,0.17,0.04,0.56
Wat Zou Je Doen - Live,2006,0.38,0.66,0.92,0.61,0.17,0.46
One Day Like This,2009,0.09,0.43,0.67,0.14,0.03,0.38
Bagagedrager,2002,0.08,0.5,0.71,0.43,0.05,0.33
Wêr Bisto,2001,0.33,0.52,0.32,0.09,0.02,0.18
Only Time,2000,0.84,0.42,0.25,0.11,0.03,0.21
Sorry Seems To Be The Hardest Word,2004,0.18,0.56,0.6,0.38,0.03,0.44
Self Esteem,2005,0.02,0.46,0.91,0.36,0.06,0.61
Aanzoek Zonder Ringen,2006,0.02,0.55,0.85,0.32,0.04,0.46
Modern World,2007,0.12,0.7,0.76,0.13,0.06,0.68
Rosie,2007,0.47,0.59,0.55,0.11,0.03,0.64
This Is Not America - 2002 Remaster,2002,0.06,0.72,0.67,0.05,0.04,0.65
Times Like These,2002,0,0.38,0.91,0.24,0.09,0.27
De Vondeling Van Ameland,2007,0.67,0.39,0.35,0.11,0.03,0.16
I'm Gonna Be (500 Miles),2003,0.15,0.85,0.55,0.08,0.04,0.81
Afscheid Nemen Bestaat Niet,2006,0.03,0.4,0.4,0.09,0.03,0.22
Blauwe Ruis,2002,0.04,0.52,0.7,0.13,0.04,0.35
Limburg - Live,2008,0.29,0.23,0.93,0.93,0.17,0.28
21 Guns,2009,0.05,0.27,0.74,0.63,0.04,0.42
Valerie (feat. Amy WineDance/Electronic) - Version Revisited,2007,0,0.7,0.84,0.12,0.05,0.89
Blaosmuziek,2005,0.94,0.27,0.13,0.33,0.04,0.18
Binnen,2002,0.01,0.5,0.9,0.15,0.06,0.67
Motorcycle Emptiness,2002,0,0.53,0.81,0.16,0.03,0.21
In the End,2000,0.01,0.56,0.86,0.21,0.06,0.4
Halt mich,2008,0.79,0.29,0.44,0.08,0.03,0.16
Girl,2004,0.01,0.67,0.8,0.06,0.03,0.79
"Trapped - Live at Meadowlands Arena, E. Rutherford, NJ - August 1984",2003,0.03,0.32,0.62,0.6,0.03,0.36
Ik Wou Dat Ik Jou Was,2003,0.54,0.36,0.61,0.11,0.04,0.49
Empire State of Mind (Part II) Broken Down,2009,0.74,0.48,0.37,0.12,0.03,0.14
Numb / Encore,2004,0.06,0.69,0.79,0.58,0.17,0.75
Ben Ik Te Min,2009,0.28,0.62,0.69,0.06,0.03,0.56
All Summer Long,2007,0.02,0.7,0.86,0.1,0.03,0.89
Forever Autumn,2007,0.47,0.35,0.49,0.21,0.03,0.21
Waiting On the World to Change,2006,0.16,0.58,0.76,0.25,0.12,0.66
Everybody's Changing,2004,0,0.52,0.84,0.1,0.03,0.46
How to Save a Life,2005,0.27,0.64,0.74,0.1,0.04,0.36
"Bloed, Zweet En Tranen",2002,0.08,0.6,0.72,0.35,0.03,0.37
"Lose Yourself - From ""8 Mile"" Soundtrack",2005,0.01,0.69,0.74,0.36,0.26,0.06
Europa (Earth's Cry Heaven's Smile),2007,0.03,0.3,0.67,0.15,0.05,0.68
Feeling Good,2001,0.3,0.35,0.42,0.1,0.03,0.27
"Harder, Better, Faster, Stronger",2001,0.04,0.82,0.72,0.36,0.14,0.69
Use Somebody,2008,0.01,0.28,0.72,0.2,0.04,0.17
Sweet Disposition,2009,0.07,0.53,0.82,0.12,0.04,0.34
Single Ladies (Put a Ring on It),2008,0.04,0.43,0.58,0.19,0.3,0.27
You're the Voice,2008,0.22,0.37,0.76,0.58,0.05,0.64
Voltooid Verleden Tijd,2009,0.66,0.46,0.44,0.1,0.03,0.15
Eternal Flame,2004,0.53,0.53,0.36,0.09,0.02,0.4
Papa Was A Rolling Stone,2001,0.06,0.85,0.6,0.19,0.04,0.87
Crazy In Love (feat. Jay-Z),2003,0,0.65,0.77,0.07,0.23,0.68
Best of You,2005,0,0.37,0.94,0.19,0.07,0.37
Daughters,2003,0.84,0.67,0.41,0.1,0.03,0.5
De wedstrijd,2006,0.53,0.58,0.85,0.79,0.05,0.58
Papillon,2009,0,0.51,0.95,0.3,0.06,0.63
Sadeness,2001,0.09,0.59,0.64,0.09,0.03,0.49
Red Mij Niet - Single Edit,2001,0.76,0.52,0.38,0.1,0.04,0.13
Love Is A Losing Game,2006,0.32,0.48,0.56,0.18,0.03,0.54
Zij,2002,0.45,0.25,0.4,0.09,0.04,0.11
Tribute,2001,0.18,0.37,0.77,0.09,0.07,0.42
You Know I'm No Good,2006,0.01,0.71,0.81,0.07,0.03,0.73
Talk,2005,0.01,0.41,0.56,0.16,0.03,0.16
Love Is A Battlefield,2001,0.01,0.67,0.63,0.1,0.05,0.86
Home,2005,0.84,0.61,0.37,0.11,0.03,0.35
Sonne,2001,0.01,0.51,0.92,0.4,0.09,0.31
I Gotta Feeling,2009,0.09,0.74,0.77,0.51,0.03,0.61
She Sells Sanctuary,2000,0,0.55,0.77,0.13,0.03,0.42
Alie,2008,0.14,0.52,0.77,0.06,0.06,0.93
Red Red Wine,2000,0,0.86,0.47,0.27,0.05,0.84
A Little Less Conversation - JXL Radio Edit Remix,2002,0,0.6,0.97,0.13,0.05,0.72
Love You More,2005,0.76,0.34,0.2,0.11,0.03,0.3
Old Man,2004,0.44,0.71,0.3,0.1,0.03,0.48
