Title,Year,Acousticness,Danceability,Energy,Liveness,Speechiness,Valence
Hold It Against Me,2011,0.01,0.65,0.72,0.24,0.04,0.39
I'm Into You,2011,0.02,0.59,0.75,0.08,0.14,0.7
Papi,2011,0.13,0.71,0.81,0.37,0.06,0.89
Cheers (Drink To That),2011,0.02,0.58,0.91,0.29,0.04,0.73
S&M Remix,2011,0.05,0.82,0.81,0.05,0.05,0.89
Written in the Stars (feat. Eric Turner),2011,0.06,0.64,0.95,0.18,0.07,0.57
Jar of Hearts,2011,0.73,0.35,0.35,0.12,0.03,0.09
Castle Walls (feat. Christina Aguilera),2011,0.07,0.45,0.86,0.26,0.39,0.58
Turning Page,2011,0.91,0.3,0.38,0.11,0.03,0.19
Super Bass,2011,0.06,0.77,0.74,0.4,0.23,0.59
Raise Your Glass,2011,0,0.68,0.64,0.12,0.12,0.56
Invading My Mind,2011,0.02,0.73,0.88,0.32,0.07,0.69
Moment 4 Life - Album Version (Edited),2011,0.39,0.5,0.88,0.22,0.38,0.37
Last Friday Night (T.G.I.F.),2011,0,0.65,0.81,0.67,0.04,0.72
Firework,2011,0.14,0.64,0.83,0.11,0.05,0.65
Muny - Album Version (Edited),2011,0.56,0.8,0.72,0.19,0.33,0.53
Titanium (feat. Sia),2012,0.07,0.6,0.79,0.13,0.1,0.3
Locked Out of Heaven,2012,0.05,0.73,0.7,0.31,0.04,0.87
Paradise,2012,0.05,0.45,0.59,0.08,0.03,0.2
Payphone,2012,0.02,0.74,0.75,0.29,0.04,0.55
What Makes You Beautiful,2012,0.01,0.73,0.79,0.06,0.07,0.89
I Knew You Were Trouble.,2012,0,0.62,0.47,0.03,0.04,0.68
Call Me Maybe,2012,0.01,0.78,0.58,0.11,0.04,0.66
Love You Like A Love Song,2012,0.08,0.86,0.68,0.07,0.05,0.92
Set Fire to the Rain,2012,0,0.61,0.68,0.13,0.03,0.47
We Are Never Ever Getting Back Together,2012,0.01,0.63,0.68,0.12,0.09,0.75
Stronger (What Doesn't Kill You),2012,0.05,0.56,0.94,0.11,0.05,0.68
Try,2012,0,0.67,0.63,0.09,0.03,0.55
Starships,2012,0.14,0.75,0.72,0.25,0.08,0.75
One More Night,2012,0.06,0.72,0.82,0.08,0.03,0.62
